ISO3;LON;LAT;Année;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Unité;Unité;Cde_Domaine;Domaine;Valeur_Mesurée
AUT;14.912;47.683;2004;AUT;Autriche;Accessibilité financière du logement;Accessibilité financière du logement;PT_B7G_S14;Pourcentage du revenu disponible brut ajusté des ménages;HSL_3;Logement;80.5478900496
AUT;14.912;47.683;2004;AUT;Autriche;Espérance de vie à la naissance;Espérance de vie à la naissance;Y;Années;HSL_5;Santé;79.3
AUT;14.912;47.683;2004;AUT;Autriche;Décès dus au suicide, à l’alcool ou à la drogue;Décès dus au suicide, à l’alcool ou à la drogue;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_5;Santé;28.2979850922
AUT;14.912;47.683;2004;AUT;Autriche;Mortalité routière;Mortalité routière;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_10;Sécurité;10.74404862
AUT;14.912;47.683;2004;AUT;Autriche;Homicides;Homicides;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_10;Sécurité;0.8
AUT;14.912;47.683;2004;AUT;Autriche;Exposition à la pollution de l’air;Exposition à la pollution de l’air;PT_POP;Pourcentage de la population;HSL_9;Qualité environnementale;99.998993
AUT;14.912;47.683;2004;AUT;Autriche;Exposition à des températures extrêmes;Exposition à des températures extrêmes;PT_POP;Pourcentage de la population;HSL_9;Qualité environnementale;0.0
AUT;14.912;47.683;2004;AUT;Autriche;Incapacité à maintenir le logement à bonne température;Incapacité à maintenir le logement à bonne température;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_3;Logement;2.3
AUT;14.912;47.683;2004;AUT;Autriche;Difficultés à joindre les deux bouts;Difficultés à joindre les deux bouts;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_1;Revenu et patrimoine;10.7
AUT;14.912;47.683;2004;AUT;Autriche;État de santé perçu comme bon;État de santé perçu comme bon;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_5;Santé;71.2
AUT;14.912;47.683;2004;AUT;Autriche;État de santé perçu comme mauvais;État de santé perçu comme mauvais;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_5;Santé;8.6
