Année;Pays;Cde_Pays;variable;value
2002;Allemagne;DEU;Services<br>publics;13.824794571887253
2003;Allemagne;DEU;Services<br>publics;13.573531806152324
2004;Allemagne;DEU;Services<br>publics;13.534092175140195
2005;Allemagne;DEU;Services<br>publics;13.448068015115695
2006;Allemagne;DEU;Services<br>publics;13.500000909691307
2007;Allemagne;DEU;Services<br>publics;13.923834493201154
2008;Allemagne;DEU;Services<br>publics;14.760058420558472
2009;Allemagne;DEU;Services<br>publics;13.943090206910746
2010;Allemagne;DEU;Services<br>publics;13.88551902865401
2011;Allemagne;DEU;Services<br>publics;14.758818484272904
2012;Allemagne;DEU;Services<br>publics;14.718413442460122
2013;Allemagne;DEU;Services<br>publics;14.280086513208712
2014;Allemagne;DEU;Services<br>publics;13.844882152955737
2015;Allemagne;DEU;Services<br>publics;13.177959838140877
2016;Allemagne;DEU;Services<br>publics;12.762164370833496
2017;Allemagne;DEU;Services<br>publics;12.742632120666705
2018;Allemagne;DEU;Services<br>publics;12.469021631379587
2019;Allemagne;DEU;Services<br>publics;12.410414655271433
2020;Allemagne;DEU;Services<br>publics;11.695819896313834
2021;Allemagne;DEU;Services<br>publics;11.817023207613358
2022;Allemagne;DEU;Services<br>publics;12.099263728635098
2023;Allemagne;DEU;Services<br>publics;12.688731191079372
2002;Autriche;AUT;Services<br>publics;16.031536025493256
2003;Autriche;AUT;Services<br>publics;15.208104285101362
2004;Autriche;AUT;Services<br>publics;14.196434714982246
2005;Autriche;AUT;Services<br>publics;15.189672476104638
2006;Autriche;AUT;Services<br>publics;15.37652901599528
2007;Autriche;AUT;Services<br>publics;15.332984161924118
2008;Autriche;AUT;Services<br>publics;14.442631430429989
2009;Autriche;AUT;Services<br>publics;14.28100168261684
2010;Autriche;AUT;Services<br>publics;14.436399581303677
2011;Autriche;AUT;Services<br>publics;14.418376289809864
2012;Autriche;AUT;Services<br>publics;14.10348413371615
2013;Autriche;AUT;Services<br>publics;13.8518324088101
2014;Autriche;AUT;Services<br>publics;13.09272467738047
2015;Autriche;AUT;Services<br>publics;13.34200490317172
2016;Autriche;AUT;Services<br>publics;12.890919766307206
2017;Autriche;AUT;Services<br>publics;12.108789692646264
2018;Autriche;AUT;Services<br>publics;12.058751296257496
2019;Autriche;AUT;Services<br>publics;11.746662501649167
2020;Autriche;AUT;Services<br>publics;10.715697599547317
2021;Autriche;AUT;Services<br>publics;10.330404506413913
2022;Autriche;AUT;Services<br>publics;10.072597835702704
2023;Autriche;AUT;Services<br>publics;10.75714193691063
2024;Autriche;AUT;Services<br>publics;10.951110858789903
2002;Belgique;BEL;Services<br>publics;21.10187277892585
2003;Belgique;BEL;Services<br>publics;20.11321853573852
2004;Belgique;BEL;Services<br>publics;19.31166583098911
2005;Belgique;BEL;Services<br>publics;17.911592286652148
2006;Belgique;BEL;Services<br>publics;17.559739182398342
2007;Belgique;BEL;Services<br>publics;17.920163862318258
2008;Belgique;BEL;Services<br>publics;17.160108869529576
2009;Belgique;BEL;Services<br>publics;16.755554360190548
2010;Belgique;BEL;Services<br>publics;16.117438558499664
2011;Belgique;BEL;Services<br>publics;16.065224369508798
2012;Belgique;BEL;Services<br>publics;15.582540690815797
2013;Belgique;BEL;Services<br>publics;15.459289553824714
2014;Belgique;BEL;Services<br>publics;15.323649738273787
2015;Belgique;BEL;Services<br>publics;15.020069666553665
2016;Belgique;BEL;Services<br>publics;15.024900637928546
2017;Belgique;BEL;Services<br>publics;13.876785073060244
2018;Belgique;BEL;Services<br>publics;13.817764179369533
2019;Belgique;BEL;Services<br>publics;13.322642256942919
2020;Belgique;BEL;Services<br>publics;12.807524684977412
2021;Belgique;BEL;Services<br>publics;12.715433969079248
2022;Belgique;BEL;Services<br>publics;12.428731997664396
2023;Belgique;BEL;Services<br>publics;12.745253929305406
2002;Espagne;ESP;Services<br>publics;15.00516359441434
2003;Espagne;ESP;Services<br>publics;14.551196246864805
2004;Espagne;ESP;Services<br>publics;13.265361169552786
2005;Espagne;ESP;Services<br>publics;13.271858402118925
2006;Espagne;ESP;Services<br>publics;13.15569127715116
2007;Espagne;ESP;Services<br>publics;12.642006424043736
2008;Espagne;ESP;Services<br>publics;12.448973821966757
2009;Espagne;ESP;Services<br>publics;12.330055648494092
2010;Espagne;ESP;Services<br>publics;12.239756832996838
2011;Espagne;ESP;Services<br>publics;13.590530201178225
2012;Espagne;ESP;Services<br>publics;13.539738320102915
2013;Espagne;ESP;Services<br>publics;15.946624193596087
2014;Espagne;ESP;Services<br>publics;15.753856545279271
2015;Espagne;ESP;Services<br>publics;14.815126775926366
2016;Espagne;ESP;Services<br>publics;14.451987129720317
2017;Espagne;ESP;Services<br>publics;13.469456645857125
2018;Espagne;ESP;Services<br>publics;13.41831066807368
2019;Espagne;ESP;Services<br>publics;12.846427940900092
2020;Espagne;ESP;Services<br>publics;11.386263194544991
2021;Espagne;ESP;Services<br>publics;11.614009595433988
2022;Espagne;ESP;Services<br>publics;12.21408312758881
2023;Espagne;ESP;Services<br>publics;12.450804168282053
2002;Estonie;EST;Services<br>publics;9.367205871873443
2003;Estonie;EST;Services<br>publics;8.898457122353784
2004;Estonie;EST;Services<br>publics;9.241478636581853
2005;Estonie;EST;Services<br>publics;9.21616816565572
2006;Estonie;EST;Services<br>publics;10.258723104677255
2007;Estonie;EST;Services<br>publics;9.895692590390748
2008;Estonie;EST;Services<br>publics;8.009007090040472
2009;Estonie;EST;Services<br>publics;8.159631619339985
2010;Estonie;EST;Services<br>publics;8.117478414508117
2011;Estonie;EST;Services<br>publics;9.039817108020575
2012;Estonie;EST;Services<br>publics;10.053756649402782
2013;Estonie;EST;Services<br>publics;10.219594594594595
2014;Estonie;EST;Services<br>publics;10.192073848406794
2015;Estonie;EST;Services<br>publics;10.113844400528608
2016;Estonie;EST;Services<br>publics;10.006603106935579
2017;Estonie;EST;Services<br>publics;9.73890588123234
2018;Estonie;EST;Services<br>publics;9.827839862817502
2019;Estonie;EST;Services<br>publics;8.886375062845651
2020;Estonie;EST;Services<br>publics;8.830443608238324
2021;Estonie;EST;Services<br>publics;9.305118154836078
2022;Estonie;EST;Services<br>publics;9.31037323885639
2023;Estonie;EST;Services<br>publics;9.607806342653406
2002;Finlande;FIN;Services<br>publics;14.43704558408519
2003;Finlande;FIN;Services<br>publics;14.421227020094058
2004;Finlande;FIN;Services<br>publics;14.264096743995177
2005;Finlande;FIN;Services<br>publics;14.361286965571068
2006;Finlande;FIN;Services<br>publics;14.284510670052839
2007;Finlande;FIN;Services<br>publics;14.287190201232884
2008;Finlande;FIN;Services<br>publics;14.541779120654615
2009;Finlande;FIN;Services<br>publics;14.287167488937492
2010;Finlande;FIN;Services<br>publics;14.306376865781784
2011;Finlande;FIN;Services<br>publics;15.000657882370632
2012;Finlande;FIN;Services<br>publics;14.843420993683075
2013;Finlande;FIN;Services<br>publics;14.65192324240599
2014;Finlande;FIN;Services<br>publics;14.502124359320204
2015;Finlande;FIN;Services<br>publics;12.960023214529565
2016;Finlande;FIN;Services<br>publics;12.429754012854595
2017;Finlande;FIN;Services<br>publics;12.264643470645693
2018;Finlande;FIN;Services<br>publics;12.697424980554306
2019;Finlande;FIN;Services<br>publics;12.600132314142467
2020;Finlande;FIN;Services<br>publics;12.249057678329224
2021;Finlande;FIN;Services<br>publics;12.166035754141047
2022;Finlande;FIN;Services<br>publics;12.416033122746905
2023;Finlande;FIN;Services<br>publics;11.752981517541617
2002;France;FRA;Services<br>publics;14.514475020549694
2003;France;FRA;Services<br>publics;13.876217316747141
2004;France;FRA;Services<br>publics;13.801759655790155
2005;France;FRA;Services<br>publics;13.710679852302196
2006;France;FRA;Services<br>publics;13.122198577664811
2007;France;FRA;Services<br>publics;13.214167089071399
2008;France;FRA;Services<br>publics;13.432053918621245
2009;France;FRA;Services<br>publics;12.91155836128387
2010;France;FRA;Services<br>publics;12.67822190091555
2011;France;FRA;Services<br>publics;12.898337038207336
2012;France;FRA;Services<br>publics;12.858830387076544
2013;France;FRA;Services<br>publics;12.364236102447038
2014;France;FRA;Services<br>publics;11.892038239604213
2015;France;FRA;Services<br>publics;11.480835030617358
2016;France;FRA;Services<br>publics;11.266787714921755
2017;France;FRA;Services<br>publics;11.341390923802761
2018;France;FRA;Services<br>publics;11.003926161795526
2019;France;FRA;Services<br>publics;10.83511822795825
2020;France;FRA;Services<br>publics;9.850529101546346
2021;France;FRA;Services<br>publics;10.239544980336019
2022;France;FRA;Services<br>publics;11.173196753520344
2023;France;FRA;Services<br>publics;10.872483797673326
2002;Grèce;GRC;Services<br>publics;24.094309377504675
2003;Grèce;GRC;Services<br>publics;21.617179533321337
2004;Grèce;GRC;Services<br>publics;24.16492297017466
2005;Grèce;GRC;Services<br>publics;21.90839190112142
2006;Grèce;GRC;Services<br>publics;24.484189964595288
2007;Grèce;GRC;Services<br>publics;24.720619384997445
2008;Grèce;GRC;Services<br>publics;22.477873229248786
2009;Grèce;GRC;Services<br>publics;22.351695739828287
2010;Grèce;GRC;Services<br>publics;23.274917853231106
2011;Grèce;GRC;Services<br>publics;23.747144488863505
2012;Grèce;GRC;Services<br>publics;19.489636728326275
2013;Grèce;GRC;Services<br>publics;15.644177172900072
2014;Grèce;GRC;Services<br>publics;19.612254350559123
2015;Grèce;GRC;Services<br>publics;18.489941272022993
2016;Grèce;GRC;Services<br>publics;17.71745076586433
2017;Grèce;GRC;Services<br>publics;17.470872209070233
2018;Grèce;GRC;Services<br>publics;17.32874605543467
2019;Grèce;GRC;Services<br>publics;16.371771635704576
2020;Grèce;GRC;Services<br>publics;13.919144738166663
2021;Grèce;GRC;Services<br>publics;13.621427479749352
2022;Grèce;GRC;Services<br>publics;13.418230807041818
2023;Grèce;GRC;Services<br>publics;16.54821334145926
2002;Irlande;IRL;Services<br>publics;11.283732211820478
2003;Irlande;IRL;Services<br>publics;11.158850450904385
2004;Irlande;IRL;Services<br>publics;11.30608773441098
2005;Irlande;IRL;Services<br>publics;11.070162339573269
2006;Irlande;IRL;Services<br>publics;10.275066722781906
2007;Irlande;IRL;Services<br>publics;9.488991650035885
2008;Irlande;IRL;Services<br>publics;9.194593430584908
2009;Irlande;IRL;Services<br>publics;9.880703050847629
2010;Irlande;IRL;Services<br>publics;7.997151005805972
2011;Irlande;IRL;Services<br>publics;12.382218323185894
2012;Irlande;IRL;Services<br>publics;15.33540540790302
2013;Irlande;IRL;Services<br>publics;16.24785576879668
2014;Irlande;IRL;Services<br>publics;15.797811105081387
2015;Irlande;IRL;Services<br>publics;14.63476575098335
2016;Irlande;IRL;Services<br>publics;14.361193781370135
2017;Irlande;IRL;Services<br>publics;13.520983769708664
2018;Irlande;IRL;Services<br>publics;13.098874515672728
2019;Irlande;IRL;Services<br>publics;11.864611782122891
2020;Irlande;IRL;Services<br>publics;9.7982874919602
2021;Irlande;IRL;Services<br>publics;9.893752538894109
2022;Irlande;IRL;Services<br>publics;9.648786515976294
2023;Irlande;IRL;Services<br>publics;9.766770450970393
2002;Italie;ITA;Services<br>publics;21.993380152516718
2003;Italie;ITA;Services<br>publics;20.820787772471324
2004;Italie;ITA;Services<br>publics;20.3111008511971
2005;Italie;ITA;Services<br>publics;20.017579551012595
2006;Italie;ITA;Services<br>publics;19.283567201800857
2007;Italie;ITA;Services<br>publics;19.622084753051706
2008;Italie;ITA;Services<br>publics;19.959484768566295
2009;Italie;ITA;Services<br>publics;18.07369103085339
2010;Italie;ITA;Services<br>publics;17.90628719513179
2011;Italie;ITA;Services<br>publics;18.483685291594725
2012;Italie;ITA;Services<br>publics;18.99985563525945
2013;Italie;ITA;Services<br>publics;18.55585028713103
2014;Italie;ITA;Services<br>publics;17.64131566766952
2015;Italie;ITA;Services<br>publics;16.384944728572897
2016;Italie;ITA;Services<br>publics;16.432445508402623
2017;Italie;ITA;Services<br>publics;15.813117277603803
2018;Italie;ITA;Services<br>publics;15.893846229066213
2019;Italie;ITA;Services<br>publics;15.130300206731242
2020;Italie;ITA;Services<br>publics;14.11616204223154
2021;Italie;ITA;Services<br>publics;13.72964218287914
2022;Italie;ITA;Services<br>publics;14.840768339159197
2023;Italie;ITA;Services<br>publics;13.785699998165704
2002;Lettonie;LVA;Services<br>publics;10.674913341942501
2003;Lettonie;LVA;Services<br>publics;11.734526629597788
2004;Lettonie;LVA;Services<br>publics;13.129193983802544
2005;Lettonie;LVA;Services<br>publics;11.79817945821316
2006;Lettonie;LVA;Services<br>publics;11.377024097921714
2007;Lettonie;LVA;Services<br>publics;11.564398557415181
2008;Lettonie;LVA;Services<br>publics;10.046405540553204
2009;Lettonie;LVA;Services<br>publics;11.028496572222462
2010;Lettonie;LVA;Services<br>publics;10.450219817667536
2011;Lettonie;LVA;Services<br>publics;11.423881576983915
2012;Lettonie;LVA;Services<br>publics;12.410403945514325
2013;Lettonie;LVA;Services<br>publics;12.6275469477679
2014;Lettonie;LVA;Services<br>publics;12.700582296237094
2015;Lettonie;LVA;Services<br>publics;12.955429765593895
2016;Lettonie;LVA;Services<br>publics;11.485061317487858
2017;Lettonie;LVA;Services<br>publics;10.81792144503212
2018;Lettonie;LVA;Services<br>publics;10.500062841701753
2019;Lettonie;LVA;Services<br>publics;10.5878098477489
2020;Lettonie;LVA;Services<br>publics;9.145024239003535
2021;Lettonie;LVA;Services<br>publics;8.667371423017574
2022;Lettonie;LVA;Services<br>publics;8.069746421634244
2023;Lettonie;LVA;Services<br>publics;8.889846957298852
2002;Lituanie;LTU;Services<br>publics;12.504538563755125
2003;Lituanie;LTU;Services<br>publics;12.745977352395721
2004;Lituanie;LTU;Services<br>publics;13.260323582053005
2005;Lituanie;LTU;Services<br>publics;12.498567911721887
2006;Lituanie;LTU;Services<br>publics;12.23936962126439
2007;Lituanie;LTU;Services<br>publics;12.323558483062005
2008;Lituanie;LTU;Services<br>publics;11.361608953045172
2009;Lituanie;LTU;Services<br>publics;10.93309447067688
2010;Lituanie;LTU;Services<br>publics;12.051651977659377
2011;Lituanie;LTU;Services<br>publics;13.004197208555077
2012;Lituanie;LTU;Services<br>publics;13.08605163212991
2013;Lituanie;LTU;Services<br>publics;13.5375166602072
2014;Lituanie;LTU;Services<br>publics;13.685837462095805
2015;Lituanie;LTU;Services<br>publics;12.79880236249628
2016;Lituanie;LTU;Services<br>publics;12.540797314234423
2017;Lituanie;LTU;Services<br>publics;11.143735343906041
2018;Lituanie;LTU;Services<br>publics;9.936476785622062
2019;Lituanie;LTU;Services<br>publics;9.723208950659396
2020;Lituanie;LTU;Services<br>publics;8.038893498969909
2021;Lituanie;LTU;Services<br>publics;7.987184332117636
2022;Lituanie;LTU;Services<br>publics;7.773935555641898
2023;Lituanie;LTU;Services<br>publics;9.175112190049836
2002;Luxembourg;LUX;Services<br>publics;12.642489626238198
2003;Luxembourg;LUX;Services<br>publics;12.164743289147118
2004;Luxembourg;LUX;Services<br>publics;12.674028078411625
2005;Luxembourg;LUX;Services<br>publics;12.88206486455256
2006;Luxembourg;LUX;Services<br>publics;12.147217480571612
2007;Luxembourg;LUX;Services<br>publics;12.37874477974559
2008;Luxembourg;LUX;Services<br>publics;12.842126630598475
2009;Luxembourg;LUX;Services<br>publics;11.984880573444197
2010;Luxembourg;LUX;Services<br>publics;12.443565387818879
2011;Luxembourg;LUX;Services<br>publics;12.920635438413361
2012;Luxembourg;LUX;Services<br>publics;13.008519162589913
2013;Luxembourg;LUX;Services<br>publics;12.034144194563227
2014;Luxembourg;LUX;Services<br>publics;11.577291626249139
2015;Luxembourg;LUX;Services<br>publics;11.728943127587039
2016;Luxembourg;LUX;Services<br>publics;12.1922039589278
2017;Luxembourg;LUX;Services<br>publics;11.87980960052177
2018;Luxembourg;LUX;Services<br>publics;12.416704419739846
2019;Luxembourg;LUX;Services<br>publics;12.030572185069817
2020;Luxembourg;LUX;Services<br>publics;10.93379775092772
2021;Luxembourg;LUX;Services<br>publics;10.866043122765898
2022;Luxembourg;LUX;Services<br>publics;10.919104181223108
2023;Luxembourg;LUX;Services<br>publics;11.898972303561271
2024;Luxembourg;LUX;Services<br>publics;11.71616503590532
2002;Pays-Bas;NLD;Services<br>publics;14.37401478652783
2003;Pays-Bas;NLD;Services<br>publics;13.418061109271665
2004;Pays-Bas;NLD;Services<br>publics;13.42401145407841
2005;Pays-Bas;NLD;Services<br>publics;13.76958533020773
2006;Pays-Bas;NLD;Services<br>publics;12.988863590601426
2007;Pays-Bas;NLD;Services<br>publics;12.695850311356535
2008;Pays-Bas;NLD;Services<br>publics;13.003538472212586
2009;Pays-Bas;NLD;Services<br>publics;11.227291792277242
2010;Pays-Bas;NLD;Services<br>publics;11.576810099833558
2011;Pays-Bas;NLD;Services<br>publics;11.223102840952599
2012;Pays-Bas;NLD;Services<br>publics;10.778767721732919
2013;Pays-Bas;NLD;Services<br>publics;10.713755234257723
2014;Pays-Bas;NLD;Services<br>publics;11.117136317491944
2015;Pays-Bas;NLD;Services<br>publics;10.627423835847646
2016;Pays-Bas;NLD;Services<br>publics;9.589634468301721
2017;Pays-Bas;NLD;Services<br>publics;9.478943122603633
2018;Pays-Bas;NLD;Services<br>publics;9.34450220414613
2019;Pays-Bas;NLD;Services<br>publics;9.14381738129727
2020;Pays-Bas;NLD;Services<br>publics;8.716702059803728
2021;Pays-Bas;NLD;Services<br>publics;8.30875110894956
2022;Pays-Bas;NLD;Services<br>publics;8.421253484616495
2023;Pays-Bas;NLD;Services<br>publics;8.282001747550503
2002;Portugal;PRT;Services<br>publics;14.25114838209714
2003;Portugal;PRT;Services<br>publics;14.497996882666547
2004;Portugal;PRT;Services<br>publics;14.368717215394062
2005;Portugal;PRT;Services<br>publics;14.537924298898844
2006;Portugal;PRT;Services<br>publics;15.113756692889831
2007;Portugal;PRT;Services<br>publics;16.090620483452465
2008;Portugal;PRT;Services<br>publics;16.771322048187344
2009;Portugal;PRT;Services<br>publics;15.166876361446954
2010;Portugal;PRT;Services<br>publics;14.447798572850031
2011;Portugal;PRT;Services<br>publics;17.746081315279998
2012;Portugal;PRT;Services<br>publics;18.894542307019847
2013;Portugal;PRT;Services<br>publics;18.74701149310701
2014;Portugal;PRT;Services<br>publics;17.643082016655974
2015;Portugal;PRT;Services<br>publics;18.055246459256225
2016;Portugal;PRT;Services<br>publics;18.227824426047697
2017;Portugal;PRT;Services<br>publics;16.635591324902567
2018;Portugal;PRT;Services<br>publics;16.398892453801807
2019;Portugal;PRT;Services<br>publics;15.32196065308862
2020;Portugal;PRT;Services<br>publics;14.089712632073748
2021;Portugal;PRT;Services<br>publics;13.762143509717733
2022;Portugal;PRT;Services<br>publics;12.663435842897544
2023;Portugal;PRT;Services<br>publics;13.59895562629078
2002;République slovaque;SVK;Services<br>publics;17.387044979239807
2003;République slovaque;SVK;Services<br>publics;14.978781025436499
2004;République slovaque;SVK;Services<br>publics;13.313436790785913
2005;République slovaque;SVK;Services<br>publics;12.11201059435699
2006;République slovaque;SVK;Services<br>publics;12.268549305230867
2007;République slovaque;SVK;Services<br>publics;11.186178835253543
2008;République slovaque;SVK;Services<br>publics;11.223857233667827
2009;République slovaque;SVK;Services<br>publics;12.935693241041257
2010;République slovaque;SVK;Services<br>publics;11.36372095397406
2011;République slovaque;SVK;Services<br>publics;12.8031245667693
2012;République slovaque;SVK;Services<br>publics;14.024197323768947
2013;République slovaque;SVK;Services<br>publics;14.04476820389022
2014;République slovaque;SVK;Services<br>publics;12.67268285852095
2015;République slovaque;SVK;Services<br>publics;14.148637782106038
2016;République slovaque;SVK;Services<br>publics;13.11308345732474
2017;République slovaque;SVK;Services<br>publics;11.832917805337633
2018;République slovaque;SVK;Services<br>publics;12.47224080828173
2019;République slovaque;SVK;Services<br>publics;12.440245792356665
2020;République slovaque;SVK;Services<br>publics;12.168877525007659
2021;République slovaque;SVK;Services<br>publics;12.003442646161698
2022;République slovaque;SVK;Services<br>publics;11.83129597782501
2023;République slovaque;SVK;Services<br>publics;11.368185511216753
2002;Allemagne;DEU;Habitat;2.087377102060527
2003;Allemagne;DEU;Habitat;2.139911562955052
2004;Allemagne;DEU;Habitat;2.1617707134103314
2005;Allemagne;DEU;Habitat;2.0579948678569497
2006;Allemagne;DEU;Habitat;1.9709371821766002
2007;Allemagne;DEU;Habitat;1.812031848106252
2008;Allemagne;DEU;Habitat;1.5999582710296623
2009;Allemagne;DEU;Habitat;1.360287312866082
2010;Allemagne;DEU;Habitat;1.1936058193050487
2011;Allemagne;DEU;Habitat;1.1092685820573396
2012;Allemagne;DEU;Habitat;0.9874004658984069
2013;Allemagne;DEU;Habitat;0.9219836242854936
2014;Allemagne;DEU;Habitat;0.8733509393735903
2015;Allemagne;DEU;Habitat;0.8422092008041985
2016;Allemagne;DEU;Habitat;0.820566784396917
2017;Allemagne;DEU;Habitat;0.8261751693440176
2018;Allemagne;DEU;Habitat;0.8712421608422986
2019;Allemagne;DEU;Habitat;0.9042508606960695
2020;Allemagne;DEU;Habitat;0.9619091680160384
2021;Allemagne;DEU;Habitat;0.846375748135227
2022;Allemagne;DEU;Habitat;1.0043020131976577
2023;Allemagne;DEU;Habitat;0.9459399398509607
2002;Autriche;AUT;Habitat;1.1341382898962657
2003;Autriche;AUT;Habitat;1.019948983696235
2004;Autriche;AUT;Habitat;0.8117024389418782
2005;Autriche;AUT;Habitat;0.8342642600890361
2006;Autriche;AUT;Habitat;0.7311701891109921
2007;Autriche;AUT;Habitat;0.8083491544946648
2008;Autriche;AUT;Habitat;0.7725057614349553
2009;Autriche;AUT;Habitat;0.8327990448515054
2010;Autriche;AUT;Habitat;0.7629550506948751
2011;Autriche;AUT;Habitat;0.7492707084111652
2012;Autriche;AUT;Habitat;0.7332548125320957
2013;Autriche;AUT;Habitat;0.7095302598503145
